DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"117495",117495,Mk10,DS,2,0,1,205,205,18:34:53 30-Jun-2012,A,B,-33.01599884,28.09399986,,,,,401677727,,
"117495",117495,Mk10,DS,1,0,0,,,18:44:56 30-Jun-2012,M,B,-33.06800079,28.10199928,,,,,401677738,,
"117495",117495,Mk10,DS,1,0,0,,,20:14:26 30-Jun-2012,A,B,-33.06200027,28.09099960,,,,,401677729,,
"117495",117495,Mk10,DS,1,0,1,,,20:14:26 30-Jun-2012,L,B,-33.06800079,28.09600067,,,,,401677740,,
"117495",117495,Mk10,DS,1,0,0,,,21:58:02 30-Jun-2012,A,B,-33.06399918,28.08399963,,,,,401677742,,
"117495",117495,Mk10,DS,2,0,0,90,90,22:31:27 30-Jun-2012,P,B,-33.00600052,28.08699989,,,,,401677723,,
"117495",117495,Mk10,DS,1,0,0,,,23:56:55 30-Jun-2012,N,B,-32.99599838,28.08099937,,,,,401677730,,
"117495",117495,Mk10,DS,1,0,0,,,01:39:20 01-Jul-2012,K,B,-33.03799820,28.12999916,,,,,401677711,,
"117495",117495,Mk10,DS,2,0,2,88,88,03:17:43 01-Jul-2012,K,B,-33.01200104,28.14800072,,,,,401677723,,
"117495",117495,Mk10,DS,2,0,1,409,409,04:24:15 01-Jul-2012,M,B,-33.00799942,28.16099930,,,,,401677724,,
"117495",117495,Mk10,DS,1,0,1,,,07:29:48 01-Jul-2012,L,B,-32.98500061,28.17600060,,,,,401677722,,
"117495",117495,Mk10,DS,2,0,1,347,347,07:32:42 01-Jul-2012,A,B,-32.98600006,28.17200089,,,,,401677722,,
"117495",117495,Mk10,DS,2,0,1,139,139,10:59:35 01-Jul-2012,P,B,-32.98400116,28.18400002,,,,,401677735,,
"117495",117495,Mk10,DS,1,0,0,,,12:29:41 01-Jul-2012,N,B,-32.99100113,28.13400078,,,,,401677719,,
"117495",117495,Mk10,DS,1,0,0,,,13:59:25 01-Jul-2012,K,B,-32.97200012,28.17300034,,,,,401677738,,
"117495",117495,Mk10,DS,1,0,0,,,15:41:12 01-Jul-2012,K,B,-32.96400070,28.15999985,,,,,401677737,,
"117495",117495,Mk10,DS,1,0,0,,,00:06:52 02-Jul-2012,P,B,-32.95399857,28.10799980,,,,,401677738,,
