DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"117495",117495,Mk10,13:02:40 28-Jun-2012,Argos,B,-32.91699982,28.03599930,,,,,,,,,
"117495",117495,Mk10,15:11:56 28-Jun-2012,Argos,B,-33.00799942,28.06699944,,,,,,,,,
"117495",117495,Mk10,16:54:59 28-Jun-2012,Argos,B,-32.91999817,28.06900024,,,,,,,,,
"117495",117495,Mk10,17:54:45 28-Jun-2012,Argos,B,-32.99700165,28.04299927,,,,,,,,,
"117495",117495,Mk10,19:20:37 28-Jun-2012,Argos,B,-33.00099945,28.05999947,,,,,,,,,
"117495",117495,Mk10,22:50:27 28-Jun-2012,Argos,B,-33.01900101,28.09600067,,,,,,,,,
"117495",117495,Mk10,00:24:59 29-Jun-2012,Argos,B,-33.02799988,28.12999916,,,,,,,,,
"117495",117495,Mk10,00:51:27 29-Jun-2012,Argos,B,-33.02399826,28.11700058,,,,,,,,,
"117495",117495,Mk10,02:01:36 29-Jun-2012,Argos,B,-33.03200150,28.13899994,,,,,,,,,
"117495",117495,Mk10,02:29:35 29-Jun-2012,Argos,B,-33.03099823,28.12899971,,,,,,,,,
"117495",117495,Mk10,05:13:15 29-Jun-2012,Argos,B,-33.04700089,28.17300034,,,,,,,,,
"117495",117495,Mk10,06:20:09 29-Jun-2012,Argos,B,-33.04999924,28.17300034,,,,,,,,,
"117495",117495,Mk10,06:35:57 29-Jun-2012,Argos,A,-33.05099869,28.16699982,,,,,,,,,
"117495",117495,Mk10,08:18:28 29-Jun-2012,Argos,B,-33.05899811,28.19300079,,,,,,,,,
"117495",117495,Mk10,11:22:35 29-Jun-2012,Argos,B,-33.05099869,28.17799950,,,,,,,,,
"117495",117495,Mk10,12:49:41 29-Jun-2012,Argos,B,-33.05699921,28.21199989,,,,,,,,,
"117495",117495,Mk10,13:03:52 29-Jun-2012,Argos,B,-33.05599976,28.21400070,,,,,,,,,
"117495",117495,Mk10,14:26:50 29-Jun-2012,Argos,B,-33.06000137,28.24300003,,,,,,,,,
"117495",117495,Mk10,14:47:47 29-Jun-2012,Argos,2,-33.02600098,28.26000023,500,,,,,,,,
"117495",117495,Mk10,16:32:12 29-Jun-2012,Argos,B,-33.05699921,28.28499985,,,,,,,,,
"117495",117495,Mk10,19:09:46 29-Jun-2012,Argos,B,-33.04999924,28.28300095,,,,,,,,,
"117495",117495,Mk10,20:38:48 29-Jun-2012,Argos,2,-33.03499985,28.20499992,500,,,,,,,,
"117495",117495,Mk10,22:41:37 29-Jun-2012,Argos,B,-33.03699875,28.20199966,,,,,,,,,
"117495",117495,Mk10,00:13:18 30-Jun-2012,Argos,B,-33.07099915,28.15999985,,,,,,,,,
"117495",117495,Mk10,00:28:01 30-Jun-2012,Argos,B,-33.07300186,28.15800095,,,,,,,,,
"117495",117495,Mk10,00:28:01 30-Jun-2012,Argos,B,-33.07199860,28.15699959,,,,,,,,,
"117495",117495,Mk10,01:47:33 30-Jun-2012,Argos,B,-33.08000183,28.14399910,,,,,,,,,
"117495",117495,Mk10,02:05:31 30-Jun-2012,Argos,A,-33.08700180,28.13199997,,,,,,,,,
"117495",117495,Mk10,04:22:39 30-Jun-2012,Argos,B,-33.09999847,28.10600090,,,,,,,,,
"117495",117495,Mk10,04:47:22 30-Jun-2012,Argos,B,-33.10200119,28.10799980,,,,,,,,,
"117495",117495,Mk10,05:59:25 30-Jun-2012,Argos,B,-33.10499954,28.09399986,,,,,,,,,
"117495",117495,Mk10,06:12:31 30-Jun-2012,Argos,3,-33.11199951,28.11199951,250,,,,,,,,
