day,month,year,lon,lat,sst
24,7,2013,17.14538,-37,14.1
30,7,2013,26.20123,-51,14.2
31,7,2013,18.27402,-36,13.9
31,7,2013,19.23859,-36.5,14.1
1,8,2013,18.41916,-34,13.1
1,8,2013,18.63673,-33.5,14.5
2,8,2013,18.48504,-34,14.2
2,8,2013,18.76712,-33.5,14
3,8,2013,19.00396,-33.5,14.2
10,8,2013,18.84026,-33.5,13.8
10,8,2013,15.55024,-43.5,13.9
11,8,2013,15.7031,-42,13.9
11,8,2013,17.82878,-35.5,14
12,8,2013,18.5249,-35.5,14.3
12,8,2013,17.87584,-39.5,14.5
13,8,2013,17.26159,-38,14.4
14,8,2013,16.18161,-47.5,14.2
15,8,2013,14.9201,-55,13.9
20,8,2013,16.20049,-44,13.9
23,8,2013,18.85465,-30.5,14.1
23,8,2013,17.4043,-42,14.2
24,8,2013,16.78345,-37,14.1
24,8,2013,17.90412,-31,14
25,8,2013,18.558,-35.5,14
28,8,2013,18.71374,-40.5,14.1
29,8,2013,18.32054,-34,14
29,8,2013,15.23787,-50.5,14.7
30,8,2013,16.13105,-57.5,14.6
31,8,2013,17.6707,-35.5,14.5
31,8,2013,18.63636,-32.5,14.1
1,9,2013,18.85099,-35,14.2
1,9,2013,18.91546,-37,14.2
2,9,2013,18.59419,-35.5,14.2
2,9,2013,18.31953,-38.5,14.5
3,9,2013,18.44641,-33.5,14.2
7,9,2013,18.35794,-9.5,14.3
16,9,2013,16.66115,42,13.8
17,9,2013,19.37054,48,14.1
18,9,2013,19.84844,45.5,14.2
19,9,2013,345.63971,-79,14.3
23,9,2013,18.61236,39,14.5
25,9,2013,17.64264,32.5,15.6
26,9,2013,18.05502,30.5,14.1
26,9,2013,18.04726,40.5,13.5
2,10,2013,15.45828,31,15.2
3,10,2013,14.47363,50,12.7
3,10,2013,20.9619,-19.5,12.1
4,10,2013,17.19366,-29,11.5
5,10,2013,24.36336,-4,11.1
6,10,2013,18.29597,-31,10.5
7,10,2013,18.32168,-31,9.8
7,10,2013,18.89148,-33,9.7
8,10,2013,19.01884,-33.5,9.6
10,10,2013,17.353,-32,9.8
11,10,2013,17.22455,-34,9.9
13,10,2013,18.36,-33.625,
