DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Gansbaai GW2",117494,Mk10,05:32:00 18-Jul-2012,GPE,,-35.50000000,19.66609955,,305580,51967,0,55560,180,3.211838,17.665110,
"Gansbaai GW2",117494,Mk10,16:23:00 18-Jul-2012,GPE,,-35.50000000,20.00892067,,305580,73483,0,55560,180,3.262723,17.944969,
"Gansbaai GW2",117494,Mk10,05:27:00 19-Jul-2012,GPE,,-35.50000000,19.99440956,,250020,29583,0,55560,180,2.681341,12.066040,
"Gansbaai GW2",117494,Mk10,16:18:00 19-Jul-2012,GPE,,-35.00000000,20.28183937,,222240,78236,0,,,2.177869,8.711476,
"Gansbaai GW2",117494,Mk10,05:43:00 20-Jul-2012,GPE,,-36.00000000,20.21346092,,333360,158612,0,111120,180,3.255338,19.532030,
"Gansbaai GW2",117494,Mk10,16:08:00 20-Jul-2012,GPE,,-38.00000000,19.81981087,,277800,162458,0,,,2.596006,12.980030,
"Gansbaai GW2",117494,Mk10,05:44:00 21-Jul-2012,GPE,,-36.50000000,19.36882973,,194460,107236,0,55560,180,1.798699,6.295448,
"Gansbaai GW2",117494,Mk10,16:16:00 21-Jul-2012,GPE,,-35.50000000,20.29040909,,222240,18093,0,,,2.206911,8.827645,
"Gansbaai GW2",117494,Mk10,05:35:00 22-Jul-2012,GPE,,-34.50000000,19.84120941,,250020,22873,0,55560,0,2.496065,11.232290,
"Gansbaai GW2",117494,Mk10,16:22:00 22-Jul-2012,GPE,,-35.00000000,19.60832977,,222240,79500,0,,,2.145356,8.581426,
"Gansbaai GW2",117494,Mk10,05:52:00 23-Jul-2012,GPE,,-34.50000000,19.40354919,,222240,62631,0,,,1.800046,7.200186,
"Gansbaai GW2",117494,Mk10,16:23:00 23-Jul-2012,GPE,,-36.50000000,18.68717957,,277800,17913,0,,,2.589657,12.948280,
"Gansbaai GW2",117494,Mk10,05:25:00 24-Jul-2012,GPE,,-34.00000000,17.87504959,,222240,40922,0,,,2.036461,8.145844,
"Gansbaai GW2",117494,Mk10,16:21:00 24-Jul-2012,GPE,,-33.00000000,18.52276039,,194460,117494,0,55560,0,1.421630,4.975705,
"Gansbaai GW2",117494,Mk10,05:36:00 25-Jul-2012,GPE,,-35.00000000,19.42210007,,166680,33068,0,,,1.080917,3.242753,
"Gansbaai GW2",117494,Mk10,16:11:00 25-Jul-2012,GPE,,-35.00000000,19.57485962,,166680,18205,0,,,1.041098,3.123293,
"Gansbaai GW2",117494,Mk10,05:53:00 26-Jul-2012,GPE,,-31.50000000,17.78243065,,222240,49360,0,,,1.580824,6.323298,
"Gansbaai GW2",117494,Mk10,16:24:00 26-Jul-2012,GPE,,-30.00000000,18.48070908,,194460,70681,0,55560,180,1.495941,5.235795,
"Gansbaai GW2",117494,Mk10,05:39:00 27-Jul-2012,GPE,,-34.50000000,20.28759956,,166680,40475,0,,,1.187915,3.563745,
