DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,18:00:00 11-Jun-2013,GPE,-35.00000000,18.78623962,0.500000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 12-Jun-2013,GPE,-35.00000000,18.78623962,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 12-Jun-2013,GPE,-35.00000000,18.78623962,0.000000,0.250000,Archive,6.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 12-Jun-2013,GPE,-35.00000000,18.78623962,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 12-Jun-2013,GPE,-37.00000000,17.14505005,0.500000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 13-Jun-2013,GPE,-37.00000000,17.14505005,0.000000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 13-Jun-2013,GPE,-37.50000000,17.80444908,0.000000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 13-Jun-2013,GPE,-37.50000000,17.80444908,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 13-Jun-2013,GPE,-36.00000000,18.73101044,0.000000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 14-Jun-2013,GPE,-36.00000000,18.73101044,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 14-Jun-2013,GPE,-36.00000000,18.73101044,4.500000,0.250000,Archive,9.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 14-Jun-2013,GPE,-36.00000000,18.73101044,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 14-Jun-2013,GPE,-36.00000000,18.73101044,0.000000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 15-Jun-2013,GPE,-36.00000000,18.73101044,0.000000,0.250000,Archive,2.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 15-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 15-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,8.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 15-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 16-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 16-Jun-2013,GPE,-35.00000000,18.51645088,3.000000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 16-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 16-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,3.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 17-Jun-2013,GPE,-35.00000000,18.51645088,0.000000,0.250000,Archive,6.000000,0.250000,Archive
