DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"Cow shark 1",117484,0.500000,Mk10,13:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,4.0,14.4,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,4.0,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,1.5,14.7,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,0.5,14.7,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.8,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.6,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.6,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.8,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.8,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.5,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,1.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,2.0,14.8,Archive
"Cow shark 1",117484,0.500000,Mk10,08:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,2.5,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,09:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,4.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,10:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,5.0,14.9,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,3.5,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,13:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,4.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,4.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,0.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,0.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.0,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.5,15.1,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,2.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,0.5,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,08:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,4.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,10:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,5.0,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,3.5,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,4.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,5.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,0.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.5,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.5,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,5.0,15.5,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,5.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,08:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,5.0,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,10:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,5.0,15.5,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,4.5,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,13:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,4.5,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,3.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,2.5,15.8,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.0,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,2.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,3.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,1.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,4.0,15.8,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,3.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,3.0,15.8,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,3.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,0.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,1.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,08:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,4.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,09:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,4.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,3.0,16.0,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,1.5,16.0,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,0.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 07-Jun-2013,GPE,-35.50000000,18.27004051,0.0,16.0,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 07-Jun-2013,GPE,-35.50000000,18.27004051,5.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 07-Jun-2013,GPE,-35.50000000,18.27004051,0.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,3.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,3.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,3.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,3.5,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,4.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,3.0,15.9,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 08-Jun-2013,GPE,-34.00000000,17.57395935,2.5,15.8,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 08-Jun-2013,GPE,-34.00000000,17.57395935,0.0,15.8,Archive
