DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 06-Jul-2013,6,GPE,-34.50000000,18.71729088,19.000000,14.450736,13.725000,14.525001,26.750000,,,,10.73,11.75,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 07-Jul-2013,6,GPE,-34.50000000,18.71729088,24.000000,14.134484,13.925001,14.275001,23.750000,,,,10.63,9.75,43.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 07-Jul-2013,6,GPE,-34.00000000,19.09369087,,,,,,,,,10.73,34.25,39.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 07-Jul-2013,6,GPE,-34.00000000,19.09369087,,,,,,,,,10.68,34.25,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 07-Jul-2013,6,GPE,-33.00000000,18.43833923,3.000000,14.054167,13.925001,14.125001,25.250000,,,,10.73,21.75,42.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 08-Jul-2013,6,GPE,-33.00000000,18.43833923,,,,,,,,,10.83,0.75,42.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 08-Jul-2013,6,GPE,-33.00000000,18.53236008,,,,,,,,,12.28,1.75,10.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 08-Jul-2013,6,GPE,-33.00000000,18.53236008,100.000000,12.565001,12.375001,13.175001,25.750000,12.88,12.88,12.88,12.38,-0.25,11.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 08-Jul-2013,6,GPE,-33.50000000,18.69634056,100.000000,12.631806,12.375001,12.925001,10.250000,12.71,12.71,12.71,12.38,-0.25,10.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 09-Jul-2013,6,GPE,-33.50000000,18.69634056,96.000000,12.731070,12.475000,13.125001,14.250000,12.58,12.58,12.58,12.48,-0.25,14.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 09-Jul-2013,6,GPE,-35.50000000,17.92244911,98.000000,12.684420,12.575001,12.875001,12.250000,,,,12.53,2.25,12.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 09-Jul-2013,6,GPE,-35.50000000,17.92244911,100.000000,13.150556,12.825001,13.775001,16.250000,,,,12.83,0.75,16.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 09-Jul-2013,6,GPE,-36.00000000,18.18745995,100.000000,13.635140,13.275001,13.925001,20.750000,13.80,13.80,13.80,13.28,-0.25,20.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 10-Jul-2013,6,GPE,-36.00000000,18.18745995,100.000000,13.720278,13.325001,13.875001,7.750000,13.75,13.75,13.75,13.33,-0.25,7.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 10-Jul-2013,6,GPE,-35.50000000,18.59123039,100.000000,13.825834,13.675001,13.925001,9.750000,,,,13.68,3.75,9.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 10-Jul-2013,6,GPE,-35.50000000,18.59123039,100.000000,13.993612,13.625001,14.225000,11.250000,14.13,14.13,14.13,13.63,-0.25,11.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 10-Jul-2013,6,GPE,-35.00000000,18.35552979,100.000000,14.013751,13.925001,14.225000,13.250000,13.99,13.99,13.99,13.93,-0.25,13.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 11-Jul-2013,6,GPE,-35.00000000,18.35552979,100.000000,13.989306,13.725000,14.225000,10.250000,14.03,14.03,14.03,13.73,-0.25,10.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 11-Jul-2013,6,GPE,-36.50000000,17.98213005,100.000000,13.843334,13.725000,14.075001,11.250000,13.98,13.98,13.98,13.73,-0.25,11.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 11-Jul-2013,6,GPE,-36.50000000,17.98213005,100.000000,14.082223,13.825001,14.375001,10.250000,14.29,14.29,14.29,13.83,-0.25,10.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 11-Jul-2013,6,GPE,-36.50000000,17.92255974,100.000000,14.205279,14.025001,14.325001,9.750000,14.26,14.26,14.26,14.03,-0.25,9.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 12-Jul-2013,6,GPE,-36.50000000,17.92255974,100.000000,14.200556,14.175001,14.275001,9.750000,14.20,14.20,14.20,14.18,-0.25,9.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 12-Jul-2013,6,GPE,-35.00000000,18.49538994,100.000000,14.178195,14.075001,14.325001,7.750000,14.11,14.11,14.11,14.08,-0.25,7.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 12-Jul-2013,6,GPE,-35.00000000,18.49538994,85.000000,14.284151,13.725000,14.375001,14.250000,14.28,14.28,14.28,13.38,-0.25,34.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 12-Jul-2013,6,GPE,-35.00000000,18.48348045,5.000000,14.141667,13.725000,14.375001,23.750000,,,,12.33,11.75,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 13-Jul-2013,6,GPE,-35.00000000,18.48348045,39.000000,14.328170,13.775001,14.425001,25.750000,,,,12.43,14.75,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 13-Jul-2013,6,GPE,-34.50000000,18.67873001,,,,,,,,,12.68,34.75,37.25
