DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Cow shark 1",117484,Mk10,06:13:00 24-Jul-2013,GPE,,-37.00000000,17.14538002,,333360,90463,0,,,2.965112,17.790670,
"Cow shark 1",117484,Mk10,15:17:00 30-Jul-2013,GPE,,-51.00000000,26.20122910,,194460,22996,0,55560,0,1.478124,5.173434,
"Cow shark 1",117484,Mk10,06:05:00 31-Jul-2013,GPE,,-36.00000000,18.27401924,,333360,60652,0,111120,180,2.515912,15.095470,
"Cow shark 1",117484,Mk10,16:20:00 31-Jul-2013,GPE,,-36.50000000,19.23859024,,305580,46514,0,55560,180,2.767397,15.220680,
"Cow shark 1",117484,Mk10,05:42:00 01-Aug-2013,GPE,,-34.00000000,18.41916084,,305580,80640,0,55560,180,2.512007,13.816040,
"Cow shark 1",117484,Mk10,16:23:00 01-Aug-2013,GPE,,-33.50000000,18.63673019,,222240,18532,0,,,1.518596,6.074384,
"Cow shark 1",117484,Mk10,05:43:00 02-Aug-2013,GPE,,-34.00000000,18.48504066,,277800,27880,0,111120,180,2.450292,12.251460,
"Cow shark 1",117484,Mk10,16:15:00 02-Aug-2013,GPE,,-33.50000000,18.76712036,,305580,132666,0,55560,180,2.362641,12.994520,
"Cow shark 1",117484,Mk10,05:36:00 03-Aug-2013,GPE,,-33.50000000,19.00395966,,277800,130653,0,,,2.132278,10.661390,
"Cow shark 1",117484,Mk10,05:49:00 10-Aug-2013,GPE,,-33.50000000,18.84025955,,500040,41134,0,111120,180,4.365414,39.288719,
"Cow shark 1",117484,Mk10,16:40:00 10-Aug-2013,GPE,,-43.50000000,15.55023956,,638940,116778,0,277800,180,6.100945,70.160858,
"Cow shark 1",117484,Mk10,06:05:00 11-Aug-2013,GPE,,-42.00000000,15.70310020,,444480,73850,0,,,3.514316,28.114531,
"Cow shark 1",117484,Mk10,16:31:00 11-Aug-2013,GPE,,-35.50000000,17.82877922,,500040,131856,0,111120,180,3.298060,29.682541,
"Cow shark 1",117484,Mk10,05:42:00 12-Aug-2013,GPE,,-35.50000000,18.52490044,,222240,32917,0,,,1.180138,4.720553,
"Cow shark 1",117484,Mk10,16:04:00 12-Aug-2013,GPE,,-39.50000000,17.87583923,,250020,23547,0,55560,0,1.215846,5.471308,
"Cow shark 1",117484,Mk10,05:41:00 13-Aug-2013,GPE,,-38.00000000,17.26158905,,277800,66710,0,,,1.629148,8.145739,
"Cow shark 1",117484,Mk10,16:36:00 14-Aug-2013,GPE,,-47.50000000,16.18161011,,750060,228573,0,277800,180,5.901293,79.667450,
"Cow shark 1",117484,Mk10,06:20:00 15-Aug-2013,GPE,,-55.00000000,14.92010021,,444480,104620,0,111120,180,4.029930,32.239441,
"Cow shark 1",117484,Mk10,05:41:00 20-Aug-2013,GPE,,-44.00000000,16.20049095,,1027860,287553,0,388920,180,6.688428,123.735901,
"Cow shark 1",117484,Mk10,05:54:00 23-Aug-2013,GPE,,-30.50000000,18.85465050,,638940,32835,0,55560,180,2.366277,27.212179,
"Cow shark 1",117484,Mk10,16:31:00 23-Aug-2013,GPE,,-42.00000000,17.40430069,,500040,16516,0,,,2.256150,20.305349,
"Cow shark 1",117484,Mk10,05:46:00 24-Aug-2013,GPE,,-37.00000000,16.78344917,,416700,22256,0,55560,180,1.333430,10.000730,
"Cow shark 1",117484,Mk10,16:28:00 24-Aug-2013,GPE,,-31.00000000,17.90411949,,416700,24101,0,55560,180,1.288938,9.667033,
"Cow shark 1",117484,Mk10,05:32:00 25-Aug-2013,GPE,,-35.50000000,18.55800056,,472260,39320,0,55560,180,1.459651,12.407030,
"Cow shark 1",117484,Mk10,16:35:00 28-Aug-2013,GPE,,-40.50000000,18.71373940,,1222320,132178,0,333360,180,5.301055,116.623199,
"Cow shark 1",117484,Mk10,05:29:00 29-Aug-2013,GPE,,-34.00000000,18.32053947,,1361220,160017,0,388920,180,4.746496,116.289101,
"Cow shark 1",117484,Mk10,16:34:00 29-Aug-2013,GPE,,-50.50000000,15.23787022,,750060,14136,0,55560,0,2.389563,32.259102,
"Cow shark 1",117484,Mk10,05:22:00 30-Aug-2013,GPE,,-57.50000000,16.13105011,,1194540,122243,0,277800,180,6.942616,149.266205,
"Cow shark 1",117484,Mk10,05:23:00 31-Aug-2013,GPE,,-35.50000000,17.67070007,,666720,54116,0,111120,180,1.625353,19.504240,
"Cow shark 1",117484,Mk10,16:50:00 31-Aug-2013,GPE,,-32.50000000,18.63636017,,833400,27628,0,111120,180,2.253501,33.802509,
"Cow shark 1",117484,Mk10,05:27:00 01-Sep-2013,GPE,,-35.00000000,18.85099030,,777840,20506,0,111120,180,2.198620,30.780670,
"Cow shark 1",117484,Mk10,16:46:00 01-Sep-2013,GPE,,-37.00000000,18.91546059,,861180,64571,0,166680,180,2.158644,33.458981,
"Cow shark 1",117484,Mk10,05:00:00 02-Sep-2013,GPE,,-35.50000000,18.59419060,,944520,105215,0,111120,180,2.530854,43.024509,
"Cow shark 1",117484,Mk10,16:46:00 02-Sep-2013,GPE,,-38.50000000,18.31953049,,1416780,125943,0,277800,180,3.466971,88.407761,
"Cow shark 1",117484,Mk10,05:14:00 03-Sep-2013,GPE,,-33.50000000,18.44640923,,750060,50224,0,55560,180,1.501255,20.266939,
"Cow shark 1",117484,Mk10,17:01:00 07-Sep-2013,GPE,,-9.50000000,18.35794067,,666720,28289,0,222240,180,1.254375,15.052500,
"Cow shark 1",117484,Mk10,05:25:00 16-Sep-2013,GPE,,42.00000000,16.66114998,,1500120,67438,0,1222320,180,4.553823,122.953201,
"Cow shark 1",117484,Mk10,15:58:00 17-Sep-2013,GPE,,48.00000000,19.37054062,,1389000,42495,0,1000080,180,4.059569,101.489197,
